Feature,Importance,Std
Contract,0.21376045478771272,0.007281336068045663
Number of Referrals,0.12154798868043046,0.017277455090224977
Tenure in Months,0.06604154398443352,0.008042382060494476
Monthly Charge,0.04113388014361581,0.010797933316292372
Number of Dependents,0.04054905418090393,0.009340981620685458
Age,0.03142169228099567,0.011418618121921718
City,0.022064949387064603,0.0058087878644080835
Zip Code,0.020488250953126053,0.004781443460922155
Married,0.010322571712451633,0.0059118689569867015
Streaming Music,0.009388898967441217,0.0051260508631353775
Online Security,0.008461731525536887,0.006120926701023462
Avg Monthly Long Distance Charges,0.005816525860088273,0.002869653305293997
AutoPay,0.005167075298979707,0.0025191127986834466
Longitude,0.0049386547766346435,0.002271695735936102
Payment Method,0.004881136487263604,0.0016509270925745357
