Feature,Importance,Importance_std
Contract,0.22510549803359248,0.008290964556277704
Number of Referrals,0.11823332658301852,0.020022912760986892
Tenure in Months,0.04600341694933156,0.004819196182112117
Monthly Charge,0.0355395808051024,0.012921833512061004
Number of Dependents,0.03372436688980431,0.010382164431332084
Age,0.022193332741399584,0.010925616035312722
Married,0.009395796130040712,0.0038185093906517435
Zip Code,0.009094751958873482,0.005955320810844221
Total Charges,0.007225091553898366,0.0038024046973038532
Latitude,0.005063015849213115,0.009401214454591232
Total Long Distance Charges,0.0039130452438544076,0.0024643526235706846
Total Revenue,0.002831608807865371,0.005583275529077948
Streaming Music,0.002469111981198302,0.005861221331693175
Online Security,0.0024105201557469203,0.005237510468392748
Internet Service,0.0013623050839077998,0.0056549621122069915
Streaming TV,0.0009069610212679047,0.002017600272257961
Unlimited Data,0.00019203657839588216,0.0003840731567917643
Offer,2.5015122432026082e-05,0.0009875736386579458
Phone Service,0.0,0.0
Internet Type,-0.0003105866754853803,0.0022920583881106283
Payment Method,-0.0005355922609709296,0.004472649265341307
Total Extra Data Charges,-0.0006201233138544815,0.0006776203276063244
Online Backup,-0.0007979225573428117,0.0016384036852993304
Total Refunds,-0.000860339260605647,0.0012529652561301392
Device Protection Plan,-0.0019651691795041113,0.0018774980782827852
Multiple Lines,-0.002068747323688336,0.006015029466895221
Premium Tech Support,-0.0025208325128458276,0.0028463905173390235
Avg Monthly GB Download,-0.002565043871859629,0.0022959049649294264
Streaming Movies,-0.0027619713904538656,0.0012901885176118376
Paperless Billing,-0.003669103390274775,0.004568114722547301
Gender,-0.0038113957899847508,0.0027409817403614184
Avg Monthly Long Distance Charges,-0.0038337111697392067,0.004616520681166001
Longitude,-0.007516160749759915,0.004208697395261976
